Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,105,13,27,1,0,state police
male,,18,37,1,0,local police
male,,16,23,0,0,local police
male,165,19,66,1,0,local police
female,,12,50,0,0,local police
male,50,10,34,0,0,local police
female,,5,46,1,0,state police
female,,12,37,0,0,state police
female,,10,44,1,0,state police
male,90,14,37,1,1,local police
male,,25,47,1,0,state police
female,,15,18,0,0,local police
male,145,17,21,1,1,state police
female,,15,57,1,0,local police
female,,11,53,0,0,local police
female,,16,36,0,0,local police
female,,14,44,0,0,local police
female,125,15,47,1,0,state police
male,,10,21,1,1,local police
male,75,10,42,1,0,state police
female,75,16,25,1,0,state police
male,,19,20,1,0,local police
male,145,17,22,0,0,state police
female,115,14,20,0,0,local police
female,75,10,22,1,0,state police
male,75,23,42,1,1,local police
male,75,19,27,0,0,local police
male,150,33,17,0,0,state police
male,225,25,36,1,1,state police
male,75,10,20,1,0,state police
male,,10,20,0,0,local police
male,135,16,20,1,1,local police
male,105,13,41,1,1,state police
male,,15,25,1,0,local police
male,75,23,30,1,0,state police
male,100,20,47,1,0,local police
male,165,19,36,1,1,local police
female,,10,47,0,0,local police
male,250,30,48,1,0,state police
male,165,19,44,1,1,state police
male,,25,20,0,0,local police
male,,14,38,1,0,local police
male,165,19,20,1,0,state police
female,,5,24,0,0,local police
male,75,10,23,1,0,local police
male,,17,37,1,1,local police
female,,15,24,1,1,local police
female,,13,25,1,0,local police
male,,17,41,1,1,local police
male,,16,44,1,0,local police
female,75,17,44,1,0,local police
male,,12,59,1,0,local police
female,,6,32,0,0,local police
male,50,10,46,1,1,local police
female,,11,31,1,0,local police
female,75,10,21,1,1,state police
male,,17,18,1,0,local police
female,225,25,20,1,1,state police
male,,13,19,0,0,local police
male,,15,46,0,0,local police
male,125,15,23,1,1,state police
male,305,33,37,1,1,local police
male,,12,37,0,0,local police
female,,14,42,1,1,local police
female,145,17,53,1,0,local police
female,,15,43,1,0,state police
male,,12,19,0,0,local police
male,,15,27,1,0,local police
female,125,15,55,1,0,local police
female,,18,35,1,0,local police
male,125,15,22,1,0,local police
male,125,15,23,1,0,local police
female,225,25,20,1,0,state police
male,,14,27,1,0,local police
male,,10,42,1,0,local police
male,,16,41,0,0,local police
male,125,15,45,1,0,state police
female,50,10,40,1,1,local police
female,75,10,53,0,0,local police
male,,10,21,1,0,local police
female,100,15,47,1,0,local police
female,,20,39,1,0,local police
male,175,20,23,1,0,local police
male,155,18,20,1,1,state police
male,75,10,54,0,0,local police
female,,18,36,1,0,local police
male,,12,25,1,0,local police
male,175,20,45,1,0,local police
female,165,19,51,0,0,local police
male,,13,44,1,1,local police
female,,9,20,1,0,state police
male,,5,30,1,0,state police
male,375,40,41,0,0,state police
female,75,10,33,1,0,state police
male,155,18,80,1,0,local police
male,165,19,46,1,0,local police
female,125,15,48,1,1,local police
male,,16,21,1,0,local police
male,155,18,21,1,0,state police
male,75,10,27,1,1,state police
male,,16,26,1,0,local police
female,,15,50,0,0,local police
male,,14,26,1,0,local police
female,195,22,38,1,0,local police
male,75,10,50,1,0,state police
female,155,18,36,1,0,local police
male,,10,19,0,0,local police
male,,22,35,0,0,local police
male,75,10,26,1,0,state police
male,,12,28,1,0,local police
male,220,27,31,1,1,local police
